model,time_us,T2_us,lambda_max_rad_per_us,omega_rad_per_us,drive_freq_rad_per_us,dt_us,fidelity_mean,fidelity_std,n_realizations
gaussian,0.0,40.0,0.0,0.125664,0.062832,0.2,1.0,0.0,40
gaussian,1.0,40.0,0.0,0.125664,0.062832,0.2,0.9924799670185568,0.006526243409696299,40
gaussian,2.0,40.0,0.0,0.125664,0.062832,0.2,0.9641024830191658,0.03771132130737814,40
gaussian,3.0,40.0,0.0,0.125664,0.062832,0.2,0.9346858902293675,0.053064536268799735,40
gaussian,4.0,40.0,0.0,0.125664,0.062832,0.2,0.9130042911358511,0.0900614456282566,40
gaussian,5.0,40.0,0.0,0.125664,0.062832,0.2,0.8691008047928201,0.10033102170819284,40
gaussian,6.0,40.0,0.0,0.125664,0.062832,0.2,0.8250687230100745,0.1253959091113406,40
gaussian,7.0,40.0,0.0,0.125664,0.062832,0.2,0.7919309940258218,0.11102744766029102,40
gaussian,8.0,40.0,0.0,0.125664,0.062832,0.2,0.7658032915738625,0.15159156520649278,40
gaussian,9.0,40.0,0.0,0.125664,0.062832,0.2,0.6947619106218258,0.1861943763683405,40
gaussian,10.0,40.0,0.0,0.125664,0.062832,0.2,0.5595526481321611,0.19356560126837427,40
gaussian,11.0,40.0,0.0,0.125664,0.062832,0.2,0.5605635049444806,0.20569847198716193,40
gaussian,12.0,40.0,0.0,0.125664,0.062832,0.2,0.4994180221801468,0.24848777015571563,40
gaussian,13.0,40.0,0.0,0.125664,0.062832,0.2,0.4291015255460751,0.20066830590695575,40
gaussian,14.0,40.0,0.0,0.125664,0.062832,0.2,0.40334280396053385,0.25696797953363165,40
gaussian,15.0,40.0,0.0,0.125664,0.062832,0.2,0.43984241448463246,0.24850028273049324,40
gaussian,16.0,40.0,0.0,0.125664,0.062832,0.2,0.34602640164805337,0.27559710130166176,40
gaussian,17.0,40.0,0.0,0.125664,0.062832,0.2,0.31613959238240763,0.24916429377519475,40
gaussian,18.0,40.0,0.0,0.125664,0.062832,0.2,0.27883801700984706,0.2726531573201699,40
gaussian,19.0,40.0,0.0,0.125664,0.062832,0.2,0.21395862842272587,0.19814854206563878,40
gaussian,20.0,40.0,0.0,0.125664,0.062832,0.2,0.18447667446125626,0.21732555982480384,40
gaussian,21.0,40.0,0.0,0.125664,0.062832,0.2,0.16960923167132388,0.15302739922646272,40
gaussian,22.0,40.0,0.0,0.125664,0.062832,0.2,0.19490247171921604,0.241585000071075,40
gaussian,23.0,40.0,0.0,0.125664,0.062832,0.2,0.20230701497272516,0.20019210879885085,40
gaussian,24.0,40.0,0.0,0.125664,0.062832,0.2,0.13795823721180372,0.15538348826030315,40
gaussian,25.0,40.0,0.0,0.125664,0.062832,0.2,0.1237280771052615,0.1355841294165348,40
gaussian,26.0,40.0,0.0,0.125664,0.062832,0.2,0.1361447719053377,0.1594745313906235,40
gaussian,27.0,40.0,0.0,0.125664,0.062832,0.2,0.14614050725067124,0.18576765812753326,40
gaussian,28.0,40.0,0.0,0.125664,0.062832,0.2,0.1555898947889583,0.13440623113599356,40
gaussian,29.0,40.0,0.0,0.125664,0.062832,0.2,0.19532943521603902,0.2596008312478503,40
gaussian,30.0,40.0,0.0,0.125664,0.062832,0.2,0.2502846726762341,0.29305682632844937,40
gaussian,31.0,40.0,0.0,0.125664,0.062832,0.2,0.32056409221739346,0.23439744572591828,40
gaussian,32.0,40.0,0.0,0.125664,0.062832,0.2,0.3169464978840707,0.29208645538604994,40
gaussian,33.0,40.0,0.0,0.125664,0.062832,0.2,0.32107085837138094,0.2780665877443006,40
gaussian,34.0,40.0,0.0,0.125664,0.062832,0.2,0.43642540982998357,0.31941111366706937,40
gaussian,35.0,40.0,0.0,0.125664,0.062832,0.2,0.41534876340471766,0.3145624406806084,40
gaussian,36.0,40.0,0.0,0.125664,0.062832,0.2,0.376046005761926,0.2866850031379964,40
gaussian,37.0,40.0,0.0,0.125664,0.062832,0.2,0.5081614728378651,0.31682555591392486,40
gaussian,38.0,40.0,0.0,0.125664,0.062832,0.2,0.49546368508858973,0.29523444576578556,40
gaussian,39.0,40.0,0.0,0.125664,0.062832,0.2,0.4901030810596628,0.33765266614212014,40
gaussian,40.0,40.0,0.0,0.125664,0.062832,0.2,0.6116259876531781,0.29250484069882315,40
gaussian,41.0,40.0,0.0,0.125664,0.062832,0.2,0.6293344725489977,0.337376544903995,40
gaussian,42.0,40.0,0.0,0.125664,0.062832,0.2,0.5915336339425135,0.32405688576127767,40
gaussian,43.0,40.0,0.0,0.125664,0.062832,0.2,0.720201744590631,0.27727242639322364,40
gaussian,44.0,40.0,0.0,0.125664,0.062832,0.2,0.7041371276700931,0.28083179120943713,40
gaussian,45.0,40.0,0.0,0.125664,0.062832,0.2,0.647570892790136,0.33897074021037904,40
gaussian,46.0,40.0,0.0,0.125664,0.062832,0.2,0.7868225503042247,0.17819820326666683,40
gaussian,47.0,40.0,0.0,0.125664,0.062832,0.2,0.7670167313888399,0.2682890053850759,40
gaussian,48.0,40.0,0.0,0.125664,0.062832,0.2,0.7761365988119251,0.24168455084457646,40
gaussian,49.0,40.0,0.0,0.125664,0.062832,0.2,0.8329057156995539,0.18139073414018644,40
gaussian,50.0,40.0,0.0,0.125664,0.062832,0.2,0.7660155976281522,0.22877120401545958,40
gaussian,51.0,40.0,0.0,0.125664,0.062832,0.2,0.6762681826510354,0.28099645744436696,40
gaussian,52.0,40.0,0.0,0.125664,0.062832,0.2,0.7523786811795536,0.27975872363863036,40
gaussian,53.0,40.0,0.0,0.125664,0.062832,0.2,0.6955242557749353,0.30877396775653254,40
gaussian,54.0,40.0,0.0,0.125664,0.062832,0.2,0.7820180017411156,0.2662913381007127,40
gaussian,55.0,40.0,0.0,0.125664,0.062832,0.2,0.7360777001957285,0.30031765402135774,40
gaussian,56.0,40.0,0.0,0.125664,0.062832,0.2,0.536794312665663,0.30395329408090715,40
gaussian,57.0,40.0,0.0,0.125664,0.062832,0.2,0.5962747169725364,0.3356338712926971,40
gaussian,58.0,40.0,0.0,0.125664,0.062832,0.2,0.6003018072902603,0.32942556553388747,40
gaussian,59.0,40.0,0.0,0.125664,0.062832,0.2,0.6151827489233114,0.31507806172471886,40
gaussian,60.0,40.0,0.0,0.125664,0.062832,0.2,0.6270705911530379,0.320204621305294,40
gaussian,61.0,40.0,0.0,0.125664,0.062832,0.2,0.5128891871725422,0.3765863302631017,40
gaussian,62.0,40.0,0.0,0.125664,0.062832,0.2,0.4370835890571093,0.3490591854469847,40
gaussian,63.0,40.0,0.0,0.125664,0.062832,0.2,0.4632026799271015,0.34244674370627637,40
gaussian,64.0,40.0,0.0,0.125664,0.062832,0.2,0.5245426486621368,0.3760133428245408,40
gaussian,65.0,40.0,0.0,0.125664,0.062832,0.2,0.3149183845085086,0.32203026803367996,40
gaussian,66.0,40.0,0.0,0.125664,0.062832,0.2,0.37201480069924087,0.3479176496310266,40
gaussian,67.0,40.0,0.0,0.125664,0.062832,0.2,0.31951192734133316,0.31868483897349525,40
gaussian,68.0,40.0,0.0,0.125664,0.062832,0.2,0.29861258631561816,0.27385607156811353,40
gaussian,69.0,40.0,0.0,0.125664,0.062832,0.2,0.2688474545824683,0.30782721449948197,40
gaussian,70.0,40.0,0.0,0.125664,0.062832,0.2,0.3379739949036534,0.3049268969683172,40
gaussian,71.0,40.0,0.0,0.125664,0.062832,0.2,0.3176969163669511,0.3347936298358019,40
gaussian,72.0,40.0,0.0,0.125664,0.062832,0.2,0.32468435212649815,0.30264347429607286,40
gaussian,73.0,40.0,0.0,0.125664,0.062832,0.2,0.3285366950562639,0.30880060747247384,40
gaussian,74.0,40.0,0.0,0.125664,0.062832,0.2,0.34650127640399553,0.3023813150526599,40
gaussian,75.0,40.0,0.0,0.125664,0.062832,0.2,0.2119455009470408,0.23856599672484913,40
gaussian,76.0,40.0,0.0,0.125664,0.062832,0.2,0.3184566386261191,0.2919960491463916,40
gaussian,77.0,40.0,0.0,0.125664,0.062832,0.2,0.2911660363085421,0.3057748777188317,40
gaussian,78.0,40.0,0.0,0.125664,0.062832,0.2,0.27673545988659987,0.3023862708315495,40
gaussian,79.0,40.0,0.0,0.125664,0.062832,0.2,0.2447207199995875,0.2820134351987526,40
gaussian,80.0,40.0,0.0,0.125664,0.062832,0.2,0.3487544481431585,0.29806451627933667,40
gaussian,81.0,40.0,0.0,0.125664,0.062832,0.2,0.41839866835465694,0.37445795693020734,40
gaussian,82.0,40.0,0.0,0.125664,0.062832,0.2,0.34635095712302105,0.3441110083572006,40
gaussian,83.0,40.0,0.0,0.125664,0.062832,0.2,0.4227776072238701,0.31316503407039314,40
gaussian,84.0,40.0,0.0,0.125664,0.062832,0.2,0.29720930319904315,0.2833643982494176,40
gaussian,85.0,40.0,0.0,0.125664,0.062832,0.2,0.3951688381641871,0.3822452004732119,40
gaussian,86.0,40.0,0.0,0.125664,0.062832,0.2,0.4235342280824733,0.3636147392975123,40
gaussian,87.0,40.0,0.0,0.125664,0.062832,0.2,0.4677301967152155,0.3937437652003575,40
gaussian,88.0,40.0,0.0,0.125664,0.062832,0.2,0.4759376797764812,0.34388612526223045,40
gaussian,89.0,40.0,0.0,0.125664,0.062832,0.2,0.5685215729669835,0.34918085535184384,40
gaussian,90.0,40.0,0.0,0.125664,0.062832,0.2,0.5658101442223884,0.2996374766278293,40
gaussian,91.0,40.0,0.0,0.125664,0.062832,0.2,0.520275985914588,0.3365462514652578,40
gaussian,92.0,40.0,0.0,0.125664,0.062832,0.2,0.653918778539835,0.33670729864710147,40
gaussian,93.0,40.0,0.0,0.125664,0.062832,0.2,0.6534394457195198,0.2913391005840707,40
