model,time_us,T2_us,lambda_max_rad_per_us,omega_rad_per_us,drive_freq_rad_per_us,dt_us,fidelity_mean,fidelity_std,n_realizations
markovian,0.0,40.0,0.0,0.125664,0.062832,0.2,0.9832084327841099,0.0,1
markovian,1.0,40.0,0.0,0.125664,0.062832,0.2,0.9652298149714336,0.0,1
markovian,2.0,40.0,0.0,0.125664,0.062832,0.2,0.9407716820519885,0.0,1
markovian,3.0,40.0,0.0,0.125664,0.062832,0.2,0.9106070563545892,0.0,1
markovian,4.0,40.0,0.0,0.125664,0.062832,0.2,0.875556262782005,0.0,1
markovian,5.0,40.0,0.0,0.125664,0.062832,0.2,0.8364709028713367,0.0,1
markovian,6.0,40.0,0.0,0.125664,0.062832,0.2,0.7942182561377029,0.0,1
markovian,7.0,40.0,0.0,0.125664,0.062832,0.2,0.7496663361739387,0.0,1
markovian,8.0,40.0,0.0,0.125664,0.062832,0.2,0.7036698051393562,0.0,1
markovian,9.0,40.0,0.0,0.125664,0.062832,0.2,0.6570569245248983,0.0,1
markovian,10.0,40.0,0.0,0.125664,0.062832,0.2,0.6106176929577372,0.0,1
markovian,11.0,40.0,0.0,0.125664,0.062832,0.2,0.5650932938246396,0.0,1
markovian,12.0,40.0,0.0,0.125664,0.062832,0.2,0.5211669471530016,0.0,1
markovian,13.0,40.0,0.0,0.125664,0.062832,0.2,0.4794562319706229,0.0,1
markovian,14.0,40.0,0.0,0.125664,0.062832,0.2,0.440506917719402,0.0,1
markovian,15.0,40.0,0.0,0.125664,0.062832,0.2,0.4047883166381564,0.0,1
markovian,16.0,40.0,0.0,0.125664,0.062832,0.2,0.3726901437295729,0.0,1
markovian,17.0,40.0,0.0,0.125664,0.062832,0.2,0.34452084731601507,0.0,1
markovian,18.0,40.0,0.0,0.125664,0.062832,0.2,0.3205073515521014,0.0,1
markovian,19.0,40.0,0.0,0.125664,0.062832,0.2,0.3007961328337381,0.0,1
markovian,20.0,40.0,0.0,0.125664,0.062832,0.2,0.2854555350093272,0.0,1
markovian,21.0,40.0,0.0,0.125664,0.062832,0.2,0.27447921379534346,0.0,1
markovian,22.0,40.0,0.0,0.125664,0.062832,0.2,0.2677905889126301,0.0,1
markovian,23.0,40.0,0.0,0.125664,0.062832,0.2,0.26524817323146854,0.0,1
markovian,24.0,40.0,0.0,0.125664,0.062832,0.2,0.26665164163727084,0.0,1
markovian,25.0,40.0,0.0,0.125664,0.062832,0.2,0.2717484983565389,0.0,1
markovian,26.0,40.0,0.0,0.125664,0.062832,0.2,0.28024120002718966,0.0,1
